,Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,SMA,STD,Bollinger Upper,Bollinger Lower,Momentum,Williams %14,Stochastic %K with window size14,Stochastic %D with window size 3,Symbol,Series
48,2008-06-18,630.6,630.6,659.0,625.2,631.0,628.9,644.63,694398,44763123895000.0,44922.58835504886,107460,0.1548,717.625,112.39095592477373,942.4069118495474,492.84308815045256,0.0215049114489944,-78.79006121714082,10.94674556212999,45.568329106790635,MUNDRAPORT,EQ
49,2008-06-19,628.9,618.0,654.0,611.55,652.0,649.15,639.65,749162,47919951970000.0,44922.58835504886,229529,0.3064,705.8625,106.15544941636162,918.1733988327233,493.5516011672767,0.029905219458876458,-69.20233463035021,88.5747938751472,60.42659373183968,MUNDRAPORT,EQ
50,2008-06-20,649.15,653.85,660.9,620.0,622.0,624.25,640.91,716333,45910845720000.0,44922.58835504886,192903,0.2693,694.3925,101.64407621825981,897.6806524365197,491.1043475634804,0.03564836732183503,-72.86143071535768,10.391198044009785,36.637579160428984,MUNDRAPORT,EQ
51,2008-06-23,624.25,620.0,620.0,562.05,581.0,571.05,582.26,839833,48900245000000.0,44922.58835504886,430712,0.5129,678.5725,94.37762122536341,867.3277424507269,489.81725754927317,0.035327061352647154,-95.35243996901627,15.530629853321816,38.16554059082626,MUNDRAPORT,EQ
52,2008-06-24,571.05,573.55,590.0,563.95,571.05,568.7,575.63,673358,38760383730000.0,44922.58835504886,346846,0.5151,663.355,85.48763976524248,834.330279530485,492.37972046951506,0.034196552241241025,-95.47156962887294,18.234165067178534,14.718664321503374,MUNDRAPORT,EQ
53,2008-06-25,568.7,560.0,563.0,541.1,547.65,549.7,550.13,652878,35916734270000.0,44922.58835504886,288950,0.4426,648.79,78.12659194167729,805.0431838833546,492.53681611664535,0.025819000443070776,-93.86371744559399,39.26940639269421,24.34473377106485,MUNDRAPORT,EQ
54,2008-06-26,549.7,586.0,586.0,525.0,525.1,528.45,543.5,658769,35803847985000.0,44922.58835504886,256408,0.3892,633.47,69.2595678360934,771.9891356721869,494.95086432781324,0.015707077956554436,-97.4613686534216,5.655737704918107,21.05310305493028,MUNDRAPORT,EQ
55,2008-06-27,528.45,505.0,513.85,488.35,499.05,496.0,500.4,680667,34060791590000.0,44922.58835504886,242622,0.3564,618.75,65.32440303270499,749.39880606541,488.10119393459,0.006625355151285643,-95.5665024630542,29.99999999999991,24.975048032537405,MUNDRAPORT,EQ
56,2008-06-30,496.0,496.0,510.1,488.8,491.95,494.15,498.5,382763,19080619280000.0,44922.58835504886,68943,0.1801,605.1675,61.25445048278299,727.676400965566,482.658599034434,0.0024122677900799963,-96.6386554621849,25.117370892018606,20.257702865645538,MUNDRAPORT,EQ
57,2008-07-01,494.15,500.0,505.0,475.0,476.0,478.15,485.27,265866,12901763885000.0,44922.58835504886,77215,0.2904,592.1049999999999,58.93464243505451,709.9742848701089,474.2357151298909,0.00037957133455615924,-98.30554061323294,10.499999999999924,21.872456964006144,MUNDRAPORT,EQ
58,2008-07-02,478.15,439.0,509.95,388.1,479.7,481.3,441.59,1975470,87235144070000.0,44922.58835504886,333455,0.1688,581.0600000000001,57.90625273028404,696.8725054605682,465.24749453943195,5.223948179927061e-07,-65.8357771260997,76.48748461222816,37.368285168082224,MUNDRAPORT,EQ
59,2008-07-03,481.3,471.0,472.0,424.0,435.0,443.35,445.73,1008223,44939310745000.0,44922.58835504886,115293,0.1144,570.35,62.63040710978353,695.6108142195671,445.08918578043296,0.0006585156237576966,-79.74706744868035,40.31250000000005,42.43332820407604,MUNDRAPORT,EQ
60,2008-07-04,443.35,449.0,459.9,433.1,452.0,450.4,448.43,531265,23823614335000.0,44922.58835504886,51336,0.0966,560.8900000000001,65.82728517632033,692.5445703526408,429.2354296473594,0.0026280034943934453,-77.16275659824048,64.55223880597009,60.45074113939943,MUNDRAPORT,EQ
61,2008-07-07,450.4,455.5,494.0,455.5,467.0,467.35,474.46,544362,25827984415000.0,44922.58835504886,68160,0.1252,553.6275,67.80480008431618,689.2371001686324,418.0178998313677,0.004862668972532408,-70.94941348973607,30.77922077922084,45.214653195063654,MUNDRAPORT,EQ
62,2008-07-08,467.35,457.0,478.9,425.0,458.1,459.45,464.14,597851,27748735435000.004,44922.58835504886,87848,0.1469,547.1375,70.37881124577788,687.8951224915559,406.3798775084443,0.00793341391278089,-73.84530791788858,63.91465677179964,53.08203878566352,MUNDRAPORT,EQ
63,2008-07-09,459.45,479.0,551.35,471.0,551.35,551.35,523.82,2351043,123153255100000.0,44922.58835504886,324003,0.1378,544.35,68.9687972926918,682.2875945853837,406.4124054146164,0.0087998044125281,-40.15762463343108,100.0,64.89795918367349,MUNDRAPORT,EQ
64,2008-07-10,551.35,560.0,602.95,560.0,566.1,567.75,583.34,3422840,199666621615000.0,44922.58835504886,416276,0.1216,543.0625,68.23947359541515,679.5414471908302,406.5835528091697,0.008500557555495213,-22.531263475636052,18.044237485448175,60.652964752415926,MUNDRAPORT,EQ
65,2008-07-11,567.75,570.0,580.0,538.15,545.0,546.35,559.59,937650,52470071900000.0,44922.58835504886,102299,0.1091,540.365,66.91118838863471,674.1873767772695,406.5426232227306,0.008483673628800781,-26.34396090295556,19.59378733572292,45.87934160705703,MUNDRAPORT,EQ
66,2008-07-14,546.35,540.0,572.0,528.35,532.0,534.9,550.89,1110512,61177377479999.99,44922.58835504886,120209,0.1082,536.0649999999999,64.1705029384128,664.4060058768255,407.72399412317435,0.008871774735771784,-31.67326041424252,15.005727376861302,17.547917399344126,MUNDRAPORT,EQ
67,2008-07-15,534.9,530.0,531.0,485.0,486.0,488.0,508.06,832634,42302544455000.0,44922.58835504886,180476,0.2168,528.9350000000001,60.95548656278363,650.8459731255673,407.0240268744328,0.010648259173480557,-53.502443565278114,6.521739130434782,13.707084614339664,MUNDRAPORT,EQ
68,2008-07-16,488.0,475.0,506.0,470.1,477.5,478.2,486.23,739517,35957870985000.0,44922.58835504886,75840,0.1026,521.4,57.14311212349514,635.6862242469903,407.1137757530097,0.013608074964685102,-58.06376541773333,22.56267409470744,14.69671353400117,MUNDRAPORT,EQ
69,2008-07-17,478.2,499.0,505.0,463.0,480.0,478.75,482.28,601137,28991819625000.0,44922.58835504886,88410,0.1471,512.88,49.251514537230044,611.3830290744601,414.3769709255399,0.017425092215920174,-57.807772864789406,37.5,22.194804408380737,MUNDRAPORT,EQ
70,2008-07-18,478.75,485.0,493.4,461.0,465.0,467.4,471.97,861368,40654395495000.0,44922.58835504886,244079,0.2834,505.0375,42.6266406537217,590.2907813074435,419.78421869255664,0.022629580615354424,-63.090528275541104,19.75308641975303,26.60525350482015,MUNDRAPORT,EQ
71,2008-07-21,467.4,470.0,488.8,460.0,473.0,476.35,476.69,682113,32515603940000.0,44922.58835504886,91461,0.1341,500.30250000000007,40.0923259325857,580.4871518651714,420.11784813482865,0.02867384267093939,-58.92483127763556,56.77083333333339,38.0079732510288,MUNDRAPORT,EQ
